"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Dog API","Outros GETs","GET /breed/hound/afghan/images","0","0","1","0","0"
"Dog API","Outros GETs","GET /breeds/image/random/51","0","0","1","0","0"
"Dog API","404 / payload","404 random raca invalida","0","0","1","0","0"
"Dog API","404 / payload","404 sub-raca invalida /images","0","0","1","0","0"
"Dog API","404 / payload","404 sub-raca invalida /random","0","0","1","0","0"
"Dog API","Outros GETs","GET /breed/hound/afghan/images/random/2","0","0","1","0","0"
"Dog API","404 / payload","Raça inválida em /breed/{breed}/images","0","0","1","0","0"
"Dog API","Outros GETs","GET /breeds/image/random/{n}","0","0","1","0","0"
"Dog API","404 / payload","Campos do JSON em /breeds/image/random","0","0","1","0","0"
"Dog API","200 / contrato","GET /breeds/list/all","0","0","1","0","0"
"Dog API","404 / payload","404 sub-raca invalida /random/N","0","0","1","0","0"
"Dog API","404 / payload","404 random N raca invalida","0","0","1","0","0"
"Dog API","200 / contrato","GET /breed/{breed}/images","0","0","1","0","0"
"Dog API","200 / contrato","GET /breeds/image/random","0","0","1","0","0"
"Dog API","404 / payload","404 GET /breed/{breed}/list","0","0","1","0","0"
"Dog API","Outros GETs","GET /breed/hound/afghan/images/random","0","0","1","0","0"
"Dog API","Outros GETs","GET /breed/beagle/list","0","0","1","0","0"
"Dog API","Outros GETs","GET /breed/{breed}/list","0","0","1","0","0"
"Dog API","Outros GETs","GET /breed/{breed}/images/random","0","0","1","0","0"
"Dog API","Outros GETs","GET /breed/{breed}/images/random/{n}","0","0","1","0","0"
